,q_RIBFLV,YCIC_at,YHZA_at,YTIA_at,YCDH_at,YRBA_at,NADA_at,YRZI_r_at,YHFH_r_at,NADC_at,YOPF_i_at,NADB_at,YHDX_r_at,ACOL_at,YXLH_at,YPUF_at,MTLD_at,ACOC_at,ACOA_at,YORT_i_at,YRPE_at,YPUD_at,DEGQ_r_at,YXLD_at,YCGN_at,ACOB_at,YXLF_at,YXLE_at,YXLC_at,NDK_at,YQGN_P_i_at,YORN_i_at,ARGF_at,YTGD_at,YXLG_at,MTLA_at,ETFB_at,RAPA_at,YPSB_at,GUAB_at,YOQP_at,YOCH_at,CARB_at,PURC_at,AHPC_at,GAPB_at,YOPG_i_at,YOEB_at,BGLS_at,ARGH_at,YOPY_i_at,XLYA_at,YCGO_at,GSIB_at,PTSH_at,YTCF_at,SIGY_at,RPSF_at,GSPA_at,csbD_i_at,GLPD_at,YPUG_at,RPSJ_at,YOQE_at,YTGA_at,YDCL_at,GAP_at,YUKE_at,YDCM_at,YRDD_i_at,RPSD_at,RPMJ_i_at,YTGC_at,YTGB_at,CARA_at,YUTI_at,YUSG_at,YOCA_at,XHLA_at,YHEF_at,YHAY_at,YOQG_at,YCIB_at,ILVC_at,LICA_at,ABH_at,YCGM_at,YOSJ_at,YVFL_at,PURB_at,YXLJ_at,ALD_at,TRXA_at,XHLB_at,YORQ_at,RPSG_at,YBFG_at,ABRB_at,PCKA_at,YDII_at,YCKE_at
b_Fbat107PT24.CEL,-6.64385619,12.20847734,11.56099513,11.94927789,10.87844491,6.775804182,7.359904253,9.640106742,8.239347072,7.611222933,7.404614291,6.774903328,9.896658301,12.08934783,8.736594386,8.678453312,9.155504953,11.77600532,12.32412032,4.238468599,9.104668271,8.81565876,6.53894541,11.40039599,9.03079041,11.52886703,10.52342224,10.69267274,11.34187512,10.0176646,8.828217869,5.554579284,8.566323461,8.673137596,10.54657619,8.464753519,10.59985991,11.24832786,10.0166508,9.035920377,5.528643249,8.742830429,9.689536865,10.3027133,11.7513188,12.28371373,6.322321951,9.476304916,9.889366705,9.642682328,5.265565671,10.54994562,9.788962304,9.784692132,10.69876658,11.01403832,9.856825013,9.444762779,8.612923451,10.15891427,8.217490881,7.655063846,9.720215156,5.179872983,9.267029768,7.338803438,9.337290763,9.57986637,6.690011925,6.750282154,8.524826141,9.561919192,8.800919743,9.137717731,9.444016337,11.14965831,10.23682714,9.723020356,11.02548551,5.451832358,6.606309138,6.056884592,8.847554205,10.81036338,10.32700569,10.28711195,8.408360781,6.619557029,7.866970908,10.46779943,9.108447775,10.20843539,11.30544384,11.21417786,4.807073755,9.648536217,10.22838132,10.20827324,11.24291687,11.00789945,10.32056664
b_Fbat107PT30.CEL,-6.947862377,12.05408223,11.84642619,12.10161644,10.82992571,7.473423498,7.79175428,10.07254074,9.493301765,8.156743528,7.88298102,7.411803025,10.11846231,10.63841477,8.681864741,8.835665595,9.612246252,10.24848586,10.35848206,5.641318999,9.259184205,9.115309653,7.288430795,11.67258628,9.016224185,10.04607917,10.93042545,11.05498867,11.60841604,10.27213773,9.239281095,6.383262243,8.014826432,9.64828893,10.88901077,9.143575443,10.11299519,10.78297113,9.789166949,8.709489659,6.474408592,9.095259341,9.058026085,9.874410998,11.56778231,11.78522401,6.877714616,9.305904417,9.212604943,8.942812785,5.228675975,9.615416155,9.724056225,9.90571387,10.78462384,11.03178604,10.70140606,9.589065285,8.124537951,10.51731205,8.263028309,7.92806938,9.448603136,5.557690614,10.29511288,7.327812904,9.552590411,9.351850921,6.929254327,7.094339593,8.324664712,9.596464776,9.682317836,9.985904274,8.772469145,11.38570187,9.836497744,9.474649813,9.390483508,5.535490736,6.767642285,6.660814457,8.633490046,10.17806284,10.20957888,9.862287052,8.709506508,6.241551485,8.074678776,10.27367862,9.558391926,9.80585216,11.09806953,10.02439354,5.868419367,10.15888656,9.55734123,9.500023479,10.91109318,10.90902491,9.899712336
b_Fbat107PT48.CEL,-7.930160375,12.26518769,11.87804424,11.88088079,11.05042652,10.08397565,10.68066172,9.842422059,6.835977292,10.71196094,7.560301846,9.793711337,9.046650103,10.10309165,9.399933106,8.671053952,9.560068998,9.654464992,9.475664045,5.590551492,9.405544248,8.76531666,6.348049356,12.86995735,10.81649524,9.26464027,12.06748384,11.93008975,12.84379972,10.34260329,9.176699376,6.501624506,8.353622315,10.62967411,12.17992642,9.042179523,3.530039379,10.56577555,9.891574128,8.713414204,6.083093877,10.00265047,9.380167459,9.94711844,11.34007062,11.43001277,6.445747018,8.587648997,9.017935988,9.121929906,5.318195661,10.0756604,11.31463708,9.601339834,10.97602612,10.47282349,11.05955894,9.915345599,8.47604758,10.46019239,8.174403013,7.549718582,10.30715456,5.386385527,10.96373201,7.812680922,9.490808948,9.015227537,7.108691939,6.62887496,8.719771136,10.73487861,10.53478686,10.76776946,9.358131693,11.12538285,9.926731809,9.193713329,10.24118525,5.408956876,6.783450336,6.141383948,8.641384143,10.66371631,10.00490423,9.676720016,10.25638531,5.878157112,7.843121414,10.17081885,10.55955617,10.04203372,11.11781106,10.45285577,5.368700838,10.36642951,9.773091979,9.473917047,11.06265016,10.54398308,9.73651109
b_Fbat107PT52.CEL,-8.28771238,12.13605822,11.08421942,12.25653614,11.05635337,10.02904308,10.84547526,9.736849654,6.810026637,10.71087654,8.510622574,9.860821739,8.338007052,10.07698161,8.504988268,9.237192582,9.314782898,9.519612869,9.890362157,5.830079047,9.269003789,9.263058316,6.235947321,13.17802955,10.85913536,9.483880356,12.3516635,12.20046974,13.11660955,10.15256921,9.018859593,6.324206854,8.258178817,10.74937328,12.43640845,9.048431646,9.867325705,10.26599443,9.204195485,8.783243349,6.673308626,10.02262987,9.327897602,9.453833046,11.32232074,11.26054483,7.581743838,8.285246091,9.484613881,9.32537273,5.44102284,9.997439653,11.40574423,9.879730976,10.81582941,10.22024363,11.19177297,9.757577429,8.281776569,10.32496236,7.899505598,8.004580219,9.75042317,5.748795673,11.09828951,7.457066533,9.440669661,9.021080399,6.528182065,7.631394957,8.308497938,10.39189931,10.62841898,10.94820099,9.489766453,10.83390027,10.12887462,9.021925127,10.25527834,5.860345745,6.292537044,6.78284608,8.263664729,10.59717567,9.770838109,9.680562226,10.36797806,6.684299809,7.711682778,10.15229985,10.51344373,10.20461032,10.94916742,10.58345379,5.515084103,10.07200111,9.552596673,9.788725394,10.8703853,10.36951038,9.799847292
knh_102_Fbat289PT24.CEL,-7.310432456,7.930761357,8.792410126,8.866752558,9.124364374,7.799226502,8.291827005,7.388047891,10.17154635,8.375561624,8.544541175,7.470417956,12.17155255,11.42173723,9.637251858,9.284334815,7.98594655,11.16134919,11.20320495,6.396334209,6.670472994,9.208522897,8.871624197,10.79974448,7.754847537,10.95327172,9.714028679,9.562886797,10.55015822,9.070270559,6.903905627,7.308006669,9.325425276,8.47604601,10.17506535,8.148706693,9.657681489,11.09735587,8.450152371,6.774404406,7.202545977,7.053406473,10.29816014,9.169650144,10.04783342,10.53835635,7.674770454,8.03628663,9.639333129,10.11106663,6.041872385,10.00260169,9.134381229,9.874696297,9.656880118,9.846514013,9.422360835,7.997209896,8.118090282,10.16476029,7.764991115,7.912238117,8.26396098,6.741336752,9.270195805,6.317138744,8.179045974,8.759821919,5.96012133,8.121035059,7.860623996,8.768921924,8.716759564,9.010967956,10.20305642,10.27853512,8.666635251,9.38406664,9.83344544,6.871533698,8.317456733,7.218239604,6.506940601,9.890445282,9.228601945,8.55195281,7.78300203,7.316119541,7.947859848,9.695923144,8.869382836,9.044819339,9.654971731,9.965530068,6.341615836,8.902240392,9.686840385,8.490846628,9.843860283,11.14788112,9.580475822
knh_103_Fbat289PT48.CEL,-7.64385619,11.31755821,10.93299343,11.10526854,10.05570735,9.065237622,9.531592515,8.50106053,9.353401582,9.456883267,7.825920297,8.571086234,10.92182171,8.575417232,12.10267687,8.89659849,8.280982596,8.570089847,8.317287711,5.527843592,8.541213142,8.854176217,7.883675553,13.41256122,8.29263478,8.266330825,12.64482894,12.44996786,13.19267387,8.698653219,7.374736872,6.492760644,8.86354392,10.24757546,12.73760581,7.95033807,9.84707792,11.03029271,8.35101712,6.958885668,6.419035863,8.013933591,10.05171405,9.694064386,10.4038714,10.78501451,7.037825498,7.627104056,8.509968122,9.186939192,5.481541855,9.587896159,9.428731471,9.024523072,9.69297777,10.45438687,12.12690545,8.630354628,7.798256053,9.71320021,8.040709754,7.692692594,9.426248003,5.713939508,10.80007079,6.943132798,8.595223486,8.209624247,6.374825364,7.398121969,8.086672715,9.905524146,10.30212973,10.61216087,9.692607482,10.08583212,8.527856475,9.120608599,9.264428527,6.749957445,8.735234293,6.523379623,7.790191174,9.758061678,9.472085629,8.748767462,8.028945996,6.751603837,8.331082944,10.09001551,11.26014765,9.439957162,10.37035094,9.567044847,6.083170894,9.696764353,9.272275512,8.603118426,10.88641094,10.57673975,9.867963019
knh_490_BS0001_Fbat1070_PT24_1.Rep.CEL,-6.13796526,8.145806072,8.843732578,9.425660937,8.850631725,8.419113212,8.815971976,9.6261839,8.403869552,8.570262328,10.24263465,7.849005653,9.560039508,9.52638004,7.308548345,11.63555357,8.166151896,9.426973942,10.05420091,8.297024391,7.231013191,11.08405969,7.971779992,8.932093463,8.157430456,9.031724174,8.840252235,8.467613421,9.396520832,8.79683957,5.644339439,9.506425805,7.479262534,7.075596208,8.47959216,8.200803189,8.254232596,9.635032891,7.853067235,7.468459863,8.867469143,7.766087423,8.665275034,8.280877742,11.04568439,10.88439765,9.234160251,7.959663857,9.150767784,8.375429021,7.662114678,9.238969776,8.57859775,9.829868387,9.032731143,8.909191714,8.698024918,7.24136967,7.489776826,11.18094361,7.704861565,10.19446871,7.59858982,8.026274496,8.70607367,7.464505663,7.908538248,8.822507729,7.26527139,9.843172828,5.889624081,9.310672734,7.769127531,7.821201887,8.840449242,9.1920889,8.076651381,7.68806201,10.0529141,7.040257627,6.724466329,8.395407968,6.714144005,9.206479425,8.705938025,8.751813065,8.246427776,8.811907308,7.475318042,8.758389033,8.132712332,8.997554945,9.949558508,9.80053702,7.036343841,8.112694443,9.279680698,8.905995569,9.923497321,9.207422734,9.067944412
knh_491_BS0001_Fbat1070_PT30_1.Rep.CEL,-6.559791925,11.33136689,11.777741,11.25352275,10.53759626,11.2572803,11.46494477,10.51095779,9.862275526,11.25247223,5.439141714,10.74262534,11.62662059,11.11619565,9.721313546,9.108135129,9.063892699,11.04253658,11.1556893,4.157519653,9.051158693,9.42715389,9.250654381,11.20583824,10.18925253,10.54225494,10.80801484,10.40634498,11.17305329,10.30437476,8.453608908,5.243006536,8.336685024,8.263854163,10.64914232,8.662356727,10.12927085,11.06583073,9.726845373,9.319901353,5.613816992,9.586059888,9.562885433,10.00975969,11.53671523,11.16309273,5.443594891,9.819075893,10.00575776,9.493567508,4.467192592,11.42163693,10.53082911,10.64516125,10.74802459,10.65503175,10.28288436,9.339206702,9.016178761,10.99710342,8.833623251,8.104580476,9.943971753,4.859324422,8.659613078,8.195622575,10.1646635,9.295977697,7.394201115,6.12064075,7.693260836,10.17140265,8.292390054,8.600324136,9.306783732,11.08786704,9.784327661,9.538351075,11.33431085,5.089721005,7.583238859,5.604411581,8.550649513,10.52569524,10.12814483,10.28784843,9.248963855,5.848553501,8.370133432,10.02744649,8.885213289,9.977935476,11.15019699,11.36780877,4.572176061,10.07361492,11.00663462,9.939948606,10.85419125,10.91739089,10.12278176
knh_492_BS0001_Fbat1070_PT48_1.Rep.CEL,-8.333516069,11.04418542,11.96994771,12.08789622,10.74874841,8.787584808,9.247999652,10.08774905,7.855475694,9.029359449,10.07970056,8.216786266,10.95303241,10.36531872,9.845150007,10.71549466,8.477373196,10.17040726,10.6034438,7.490498527,8.880580095,10.56154488,7.830911997,12.04685587,10.20074038,9.737950491,11.61826713,11.28665421,11.80180373,9.712424535,6.987855736,8.318672563,7.453771348,8.44574231,11.34638451,8.160054188,9.174505614,10.32518913,8.849607895,8.25893117,8.037112395,9.762839211,8.897592535,8.814100805,10.7856595,10.09806601,8.838758155,8.964400481,9.20995071,8.281259706,7.611654745,10.53196342,11.06358147,10.18400939,10.54042935,9.268458523,10.85891872,8.865566429,8.296213855,11.06073436,7.697901817,9.433310078,9.184690355,7.229287036,9.128398192,8.423680694,9.229350137,8.83828005,7.761696042,8.614798765,6.818498423,10.05322548,8.427239715,8.900587424,8.906300915,10.89011292,9.53298684,8.947421228,10.04878012,7.478077519,7.398190621,8.153854212,7.209619051,9.925741631,8.877437488,9.272632953,9.508629181,8.078513869,7.427618546,9.524547031,9.113400669,9.47520358,10.63286325,9.994277753,7.193957715,9.72434538,9.868643366,9.593209807,9.807272506,10.13176094,8.846387063
knh_494_BS0001_Fbat1077_PT24_2.Rep.CEL,-6.310432456,7.838184657,9.478869327,8.590697973,8.731564146,8.039710457,8.331585842,8.3890696,9.659533051,8.322260546,8.873384849,7.742565127,11.78906746,10.37006042,9.728787037,10.83593968,8.130910142,10.38557121,10.58384619,5.970042685,6.933086442,10.50235337,8.219448603,10.42856074,7.846720673,9.969087994,9.778371645,9.499170166,10.20226985,8.759063122,7.56232661,6.807799962,8.268891225,7.864942067,10.03038204,8.210925988,9.545035963,10.89884485,7.475671631,6.779555841,6.737150417,7.369202754,9.556618548,7.646472306,10.44520196,10.33571454,7.550460158,8.016878205,8.670249359,8.793854795,6.125507947,12.06554873,9.07571129,9.939087622,9.616351086,10.02026711,9.40349313,7.599035756,7.906020308,10.13649372,7.922477735,9.255596714,8.163959446,6.61622353,8.282601401,5.718697879,7.759310067,8.841663561,5.314697212,7.817995218,6.417252963,8.613929756,8.222226007,8.593433039,9.273884519,10.34194616,8.609351913,8.418291666,11.82544683,7.145040211,8.817873919,7.166152711,6.295024108,9.813677472,9.174331348,8.839805236,7.910544525,7.022710687,7.942406705,8.776106268,8.973105345,8.727766562,10.17500583,12.06518919,6.830888128,8.444746714,11.22010299,8.324694442,10.12358033,10.30203864,9.606719374
knh_495_BS0001_Fbat1077_PT30_2.Rep.CEL,-6.615287038,10.24182791,11.33778987,10.10560106,9.29520473,9.409056631,9.795758754,8.97626297,9.522636632,9.696652764,8.98263386,8.613019655,11.59901346,10.0538687,10.29180429,10.96196773,8.194228607,9.995470615,9.81021184,6.380450176,7.538367577,10.83548791,8.833166403,11.00160851,8.000956989,9.572406741,10.37147112,10.02552183,10.69770229,8.68105837,6.753751814,7.03543999,8.001230681,7.778196644,10.65525633,8.143533993,9.469936614,10.79076245,7.625426934,7.264360169,7.0881018,7.547974071,9.273101139,7.922578583,10.48743541,10.47946895,7.617290775,8.391867124,8.552040603,8.759939582,6.834179354,11.46009857,9.086810057,9.540401499,9.620927098,9.927586647,10.20389964,7.645201631,7.769128122,10.03841466,7.957234695,9.413482427,8.387263833,6.482678051,8.48865226,6.366826384,8.44489387,8.352028789,6.121532923,7.692593806,6.58980498,9.048321416,8.019488445,8.575102786,9.163612568,10.17842001,8.525593009,8.732137343,11.29472666,7.977469342,9.51380705,7.112523716,6.936020834,9.467080792,8.736230896,8.540632282,7.744787907,7.148847837,7.766509302,8.95619152,9.147983996,8.482409646,10.43859525,11.31194754,6.940453056,8.918511427,10.89842852,7.794797485,10.1037353,10.47167668,9.672739464
knh_496_BS0001_Fbat1077_PT48_2.Rep.CEL,-7.117787378,10.26827153,11.15753283,11.34065519,9.659739195,8.448703001,8.944302161,8.645311743,8.741736722,8.980021856,8.70542534,8.044902258,11.28436488,9.303122891,11.13978401,11.04153866,8.247452226,9.309113014,9.701351727,6.271923162,8.014927985,10.81027312,9.132841317,12.14325939,9.288300433,9.18453162,11.40040952,10.92627066,11.69522891,8.990715089,6.386953574,7.173562151,7.584953854,7.807414247,11.49210646,8.229883499,8.778858763,9.632952464,7.425423029,7.556695262,6.819100227,9.053913108,8.891460468,8.217236681,9.570840198,8.682048708,7.520673464,7.473195176,8.641545533,8.058699387,6.490284039,10.36018465,10.14805177,9.492904483,9.294783588,8.425168074,10.80515661,7.643951162,7.476637047,9.899259125,7.560029741,9.546010129,8.1108593,6.532119417,8.355343829,6.739236204,8.395031014,8.080591176,6.114562967,7.961716575,6.761652751,8.653622023,8.263532376,8.467773987,8.848300989,9.999552335,8.381391052,8.17081852,9.929545552,8.351103088,8.945779972,7.045587593,6.875960582,9.460297178,8.292818589,8.606369309,8.515571943,7.236788326,7.587268738,8.743333478,9.968531632,9.203151289,9.746613501,10.10952716,7.049649756,8.810027269,9.496214466,8.506239676,9.204825019,9.579212135,8.869889086
knh_498_BS0001_Fbat1091_PT24_3.Rep.CEL,-6.333516069,7.962529858,9.185696319,9.154825083,9.223163106,7.877184555,8.111693305,9.221489906,8.795372173,8.415474796,8.342885992,7.48656939,11.52473619,11.2287462,9.342612142,10.63549893,8.36940825,11.17498457,11.37147506,6.849778734,6.51307515,10.33141406,7.659542473,10.21302615,9.410162907,10.84778067,9.863187583,9.537566403,10.4733723,9.996932874,7.410442766,7.452249195,8.510163818,7.677284429,9.973357894,8.23101953,9.777336671,11.05107967,8.985848864,8.361891073,7.373942483,8.288285861,9.65773248,9.386765926,10.9299584,10.85738354,7.731894604,8.744681989,9.720986995,9.569659738,6.989063778,11.60138776,10.57783262,9.850866494,10.54968874,10.03638151,9.267745227,8.689896455,8.071464624,10.34713325,8.045336899,9.351628009,9.277735084,7.196233603,8.659050545,6.819971031,9.384707489,8.832344785,6.207328326,8.17419071,6.779631397,9.690925694,7.670893739,8.211395704,9.711197729,10.84004234,9.370736781,9.251755086,11.52314289,7.173488442,7.685947234,7.583922665,6.319953456,10.53227206,8.493988738,9.35540146,8.619055296,7.159047227,8.137371889,9.874474647,8.463202492,9.500223109,10.89066219,11.7111722,6.137317898,9.575040142,11.1324362,9.462897369,10.73276895,10.70940423,9.398447046
knh_499_BS0001_Fbat1091_PT30_3.Rep.CEL,-6.702749879,11.02945932,11.76258421,11.14846877,10.35032998,9.367362698,9.44363614,10.21391074,9.046321413,9.438296151,6.149493339,8.616347909,11.53522472,11.3062381,9.84940488,9.705300517,8.319619092,11.3007792,11.50479113,5.193891427,8.560040498,9.568578381,8.278870984,11.39503574,10.2539064,10.94267667,10.8152991,10.64569882,11.46316578,10.08706357,8.156389132,6.18613439,8.494405131,8.463279638,10.80915638,8.280851628,9.969297101,11.09824897,9.762349959,8.615991726,6.134555054,9.387189232,9.563467922,10.02070916,11.12945595,11.02727468,6.113634067,9.547474783,9.878089954,9.564442685,5.551199885,11.21558751,10.83097145,10.14806846,10.31014892,10.4949587,10.5487527,9.281575284,8.447036859,10.52652917,8.440218154,8.501202832,10.02721922,5.882340353,8.690692898,7.694876234,9.714901456,9.111347296,7.071619165,6.704309239,7.66815856,10.22258607,8.272054369,8.676545769,9.473354583,11.00726913,9.662303214,9.723466044,11.05404537,5.890943367,8.103795096,5.986764774,7.902981321,10.49447333,9.869838185,9.806513582,9.48446477,5.657884006,8.631460412,10.04446901,8.914559853,9.803346377,11.1344122,11.28456334,5.001974269,10.05901733,10.74981484,9.671816142,10.74438233,10.96924895,9.450793735
knh_500_BS0001_Fbat1091_PT48_3.Rep.CEL,-7.310432456,10.90000546,12.15641275,11.57468708,10.25857047,9.374554153,9.589823046,9.575480701,8.410744075,9.441164697,7.880982562,8.454022046,11.58166099,10.30846515,10.50766922,10.81079304,8.223716341,10.25100464,10.57920583,6.65935211,8.114410698,10.71190823,7.896300158,12.1518346,9.705018299,9.697257856,11.53462484,11.265205,11.9487209,9.334918792,6.504753309,7.864286758,7.540092465,8.705531825,11.67761861,8.183292897,9.306868596,10.14541865,8.704429499,7.961964322,7.493802513,9.415706491,8.829815933,9.03205266,10.50095626,9.78691305,7.285239132,8.527340013,9.09238782,8.569611019,6.654459596,9.404758006,10.52164768,9.831601443,10.15478308,9.095449402,10.8335232,8.349150659,7.694614465,10.79373018,7.978925362,9.514254893,9.143191791,7.079826625,9.475502697,7.774747598,8.963659854,8.491974468,7.378076483,8.356568253,6.771796399,9.89642457,8.627479174,9.029389065,8.852670657,10.61946527,9.058380639,8.737493152,9.556983759,6.998445374,7.626982425,7.31158164,7.43530986,9.850980737,8.943093439,9.142939212,9.211772383,7.297720674,7.864206933,9.285059217,9.652575324,9.386395991,10.48246896,9.453067574,6.217491308,9.16607994,8.950407022,8.77014129,9.754142159,10.34436741,9.180404044
knh_502_BS3416_E_Fbat1071_PT24_1.Rep.CEL,-5.930160375,6.879748966,7.637787802,7.215837735,6.280235198,6.926292796,7.27704534,10.98260075,10.34270819,7.537725486,5.635643324,7.185834111,11.95580648,12.22373744,9.417378527,8.640352427,11.65845369,12.11354276,12.32949993,4.028331504,5.764950914,9.272402481,9.530060981,10.99382872,8.619448655,11.69027427,10.46834101,10.23537565,10.81727152,10.23066919,8.941239636,5.591804468,7.500901802,7.345576459,10.26855219,11.03731028,10.3867838,11.51344215,9.866780516,9.58378499,5.487294735,9.203022981,8.459335365,10.75211061,11.3106236,10.68610351,5.864684878,10.23163643,10.30955288,8.693478518,4.81241751,10.64503823,9.64293359,10.58458063,10.77482416,10.31407386,10.16362686,9.500614907,8.916087514,10.58797028,8.853341568,7.794482266,9.883644337,4.98295283,7.832243408,7.390880469,10.60420737,9.678441173,7.172920416,5.925254455,7.585404106,10.11210264,7.635411597,7.970295287,8.552562059,11.60000309,9.90513616,9.857431617,10.72783571,4.706709972,7.314945005,5.749826593,5.800036522,9.993185009,11.64710162,10.0751418,8.202778692,5.476512274,8.483621893,11.06406843,8.664753681,10.49311093,11.34992042,10.74568883,4.779374727,10.05280318,10.36349929,10.04080144,10.47809001,11.55219708,10.73252185
knh_503_BS3416_E_Fbat1071_PT30_1.Rep.CEL,-6.28771238,6.987279599,7.697576507,7.29160752,6.43868271,6.794174462,7.05075483,11.16706293,10.01335283,7.419214911,6.154983596,6.985359354,11.89492781,10.08107919,9.507890335,8.711901621,10.80701166,9.972079959,10.37492602,4.696245201,6.099241762,9.247049193,9.617178054,11.90698957,8.584899031,9.731232629,11.34171677,11.09014069,11.75511494,10.33032027,8.830893457,5.749180665,6.53066602,7.31915045,10.965502,10.24524731,9.958965012,11.07660877,9.922618678,9.945333327,5.417779083,9.317517031,7.848211995,11.02280966,11.2128307,10.704964,5.946619354,9.844712415,9.852692202,8.408461909,5.021813275,10.56125666,9.706968094,10.74836641,10.77672392,10.15830219,10.85579221,9.761364052,9.073237402,10.91607391,8.615880166,7.797242443,10.04104002,5.097486395,7.36930322,8.275400915,10.40700037,9.720516518,7.75941604,6.389681789,7.456038956,10.36697417,7.713067156,7.850224362,8.010124502,11.63306706,10.03571474,9.705332624,10.64873281,4.699022949,6.691300505,5.900248281,5.830914436,9.909131692,10.69199928,10.5359638,8.161316704,5.965936674,7.776711643,11.32779931,8.973626108,11.78955004,11.16796882,10.74505896,4.969783415,10.1450292,10.35422555,9.929397567,10.31817566,11.5995014,11.44243405
